subject,item,iteml,group,groupl,naming,graphotypingl,variability
20,14,nafo,3,typevary,0,type,high
20,15,tepo,3,typevary,0,type,high
20,16,lofe,3,typevary,0,type,high
21,1,tofe,3,typevary,1,type,high
21,2,leso,3,typevary,0,type,high
21,3,nopa,3,typevary,1,type,high
21,4,tafo,3,typevary,1,type,high
21,5,nesa,3,typevary,0,type,high
21,6,lape,3,typevary,1,type,high
21,7,lose,3,typevary,1,type,high
21,8,nepo,3,typevary,0,type,high
21,9,tofa,3,typevary,0,type,high
21,10,laso,3,typevary,1,type,high
21,11,tefa,3,typevary,1,type,high
21,12,nape,3,typevary,0,type,high
21,13,lesa,3,typevary,0,type,high
21,14,nafo,3,typevary,0,type,high
21,15,tepo,3,typevary,1,type,high
21,16,lofe,3,typevary,0,type,high
22,1,tofe,3,typevary,1,type,high
22,2,leso,3,typevary,0,type,high
22,3,nopa,3,typevary,0,type,high
22,4,tafo,3,typevary,0,type,high
22,5,nesa,3,typevary,0,type,high
22,6,lape,3,typevary,0,type,high
22,7,lose,3,typevary,0,type,high
22,8,nepo,3,typevary,1,type,high
22,9,tofa,3,typevary,0,type,high
22,10,laso,3,typevary,0,type,high
22,11,tefa,3,typevary,0,type,high
22,12,nape,3,typevary,0,type,high
22,13,lesa,3,typevary,0,type,high
22,14,nafo,3,typevary,0,type,high
22,15,tepo,3,typevary,0,type,high
22,16,lofe,3,typevary,0,type,high
23,1,tofe,4,trace,0,grapho,low
23,2,leso,4,trace,1,grapho,low
23,3,nopa,4,trace,0,grapho,low
23,4,tafo,4,trace,0,grapho,low
23,5,nesa,4,trace,0,grapho,low
23,6,lape,4,trace,0,grapho,low
23,7,lose,4,trace,0,grapho,low
23,8,nepo,4,trace,0,grapho,low
23,9,tofa,4,trace,0,grapho,low
23,10,laso,4,trace,0,grapho,low
23,11,tefa,4,trace,0,grapho,low
23,12,nape,4,trace,0,grapho,low
23,13,lesa,4,trace,0,grapho,low
23,14,nafo,4,trace,0,grapho,low
23,15,tepo,4,trace,0,grapho,low
23,16,lofe,4,trace,0,grapho,low
24,1,tofe,4,trace,1,grapho,low
24,2,leso,4,trace,0,grapho,low
24,3,nopa,4,trace,1,grapho,low
24,4,tafo,4,trace,0,grapho,low
24,5,nesa,4,trace,1,grapho,low
24,6,lape,4,trace,0,grapho,low
24,7,lose,4,trace,1,grapho,low
24,8,nepo,4,trace,1,grapho,low
24,9,tofa,4,trace,1,grapho,low
24,10,laso,4,trace,0,grapho,low
24,11,tefa,4,trace,1,grapho,low
24,12,nape,4,trace,1,grapho,low
24,13,lesa,4,trace,0,grapho,low
24,14,nafo,4,trace,0,grapho,low
