FIPS,County,State,Total.Pop.2023,Sex.Ratio.2023,Sex.Ratio.2013,Sex.Ratio.2003,Sex.Ratio.Age.0.19.2023,Sex.Ratio.Age.20.39.2023,Sex.Ratio.Age.40.59.2023,Sex.Ratio.Age.60.79.2023,Sex.Ratio.Age.80plus.2023
31105,Kimball County,Nebraska,3289,102.4,100.6518197,93.88471178,112.3123123,108.852459,110.3351955,93.69747899,76.47058824
31107,Knox County,Nebraska,8298,97.66555503,96.0119184,96.98171403,101.2762078,101.7082786,109.5518868,95.49867608,56.82451253
31109,Lancaster County,Nebraska,326716,101.0287838,100.390517,99.97097597,105.2639229,106.4983955,104.9824581,89.52368642,65.62549298
31111,Lincoln County,Nebraska,33365,99.1583597,97.42885397,97.15850736,102.9003168,105.2395629,105.8526741,93.9072521,59.36030103
31113,Logan County,Nebraska,655,110.6109325,98.21428571,89.43298969,146.7741935,109.2592593,104.109589,107.3684211,59.25925926
31115,Loup County,Nebraska,592,106.271777,99.65986395,105.5865922,110.3448276,115.0943396,107.8431373,97.19626168,116.6666667
31117,McPherson County,Nebraska,383,103.7234043,105.4474708,95.88014981,143.3333333,84.21052632,126.8292683,77.04918033,116.6666667
31119,Madison County,Nebraska,35627,100.5347293,98.01126761,99.58778966,101.3649137,109.2464939,103.6045314,94.78191062,67.88702929
31121,Merrick County,Nebraska,7755,103.3298374,99.59214887,98.72563718,110.745614,102.0214031,104.3478261,109.4252874,59.4095941
31123,Morrill County,Nebraska,4504,106.2271062,100.3661513,96.9348659,113.0681818,117.0403587,111.4,97.04797048,70.23809524
31125,Nance County,Nebraska,3274,103.6069652,101.4722537,103.8649973,106.6339066,119.1823899,105.3908356,99.27884615,51.04166667
31127,Nemaha County,Nebraska,7076,101.8830243,97.43164872,94.25824176,104.7169811,107.6732673,98.95833333,100.8928571,79.05759162
31129,Nuckolls County,Nebraska,4095,101.129666,100,93.28778135,111.8329466,103.7783375,109.6059113,99.50331126,60.1010101
31131,Otoe County,Nebraska,16335,101.4925373,97.23409605,98.32431039,112.5992063,106.1247853,102.3523262,94.5646438,66.04477612
31133,Pawnee County,Nebraska,2512,98.73417722,100.1455604,93.90243902,115.862069,96.50655022,93.93939394,99.15492958,72.22222222
31135,Perkins County,Nebraska,2795,106.7307692,103.8787024,100.3320053,110.8187135,120.3007519,107.641196,100.2824859,73.03370787
