MSA,Water_Using_Cluster,Days,Bathtub_prop,RO_system_prop,Humidifer_prop,Evaporative_cooler_prop,Ice_make_prop,Year_built_mean,Home_value_per_sqft_prctl_mean,Home_size_prctl_mean,Avg_msa_daily_temp,Avg_msa_daily_ppt,daily_vol_cw_pc,daily_vol_dw_pc,daily_vol_faucet_pc,daily_vol_indoor_pc,daily_vol_leak_pc,daily_vol_shower_pc,daily_vol_soft_pc,daily_vol_toilet_pc,Daily_vol_mean
"Atlanta, Ga",Medium Water-Using Cluster,56,0.621212121,0.026515152,0.113636364,0.003787879,0.435606061,26.96946565,0.50739381,0.505926885,4.7746797,18.506838,57.50949604,5.861158254,17.14078862,19.61024386,34.54894205,52.72698648,30.41245249,50.92870339,135.0341562
"Atlanta, Ga",Medium Water-Using Cluster,57,0.612781955,0.026315789,0.109022556,0.003759398,0.421052632,26.90909091,0.503747538,0.50319435,9.73679,5.3733773,41.6668636,5.186016278,16.16376824,19.35900503,38.39806683,52.76570369,,50.81091762,129.6282367
"Atlanta, Ga",Medium Water-Using Cluster,58,0.615969582,0.02661597,0.106463878,0.003802281,0.422053232,27.49808429,0.504069036,0.494135131,3.3699658,0.000636137,52.47963157,5.26985286,15.2628018,16.04050343,35.76042436,53.509337,28.81858215,49.3296527,127.1160558
"Atlanta, Ga",Medium Water-Using Cluster,59,0.625954198,0.026717557,0.114503817,0.003816794,0.435114504,26.9,0.512521723,0.506055979,3.8771057,0,50.00423383,5.898145311,16.39011632,17.12220648,31.99865861,56.6283517,,53.69650174,136.7724109
"Atlanta, Ga",Medium Water-Using Cluster,60,0.612403101,0.027131783,0.112403101,0.003875969,0.414728682,27.26953125,0.508358422,0.499171792,5.881684,0.033727102,56.42095198,6.636047222,18.67181216,18.2973165,36.78763614,60.95306472,29.05297484,57.96189858,155.6502987
"Atlanta, Ga",Medium Water-Using Cluster,61,0.622641509,0.026415094,0.116981132,0.003773585,0.426415094,27.52851711,0.512575232,0.49511632,8.534995,24.125961,47.16625748,6.008336353,16.48730797,18.66722947,35.21850392,54.69573645,,54.25123641,138.156863
"Atlanta, Ga",Medium Water-Using Cluster,62,0.625468165,0.026217228,0.112359551,0.003745318,0.434456929,26.79245283,0.50287324,0.501721175,11.754438,0.95473987,49.36640594,5.835177748,15.00324218,20.03881448,38.79578706,57.13115366,,51.92557563,134.8519757
"Austin, Tx",Medium Water-Using Cluster,1,0.473972603,0.112328767,0.01369863,0,0.369863014,22.60230548,0.478320327,0.493134,7.504143,0.010559296,49.97933085,6.135604178,16.28030602,14.02383062,29.64224968,50.22644232,47.745105,51.00743283,121.5898267
"Austin, Tx",Medium Water-Using Cluster,2,0.474254743,0.116531165,0.013550136,0,0.37398374,22.45584046,0.476010744,0.494090037,6.8823023,2.2134414,51.68379089,5.648779417,16.41464606,17.07937989,58.50235435,46.44017951,98.26958301,52.16107176,126.7742504
"Austin, Tx",Medium Water-Using Cluster,3,0.485094851,0.116531165,0.013550136,0,0.379403794,22.59090909,0.479595213,0.491663328,15.460384,0.18553935,59.23500246,5.587630812,17.90434465,17.3795962,51.0868427,50.77488432,56.27327476,54.81923584,133.0444668
"Austin, Tx",Medium Water-Using Cluster,4,0.481182796,0.112903226,0.01344086,0,0.370967742,22.40112994,0.480142018,0.48876219,14.554445,0.003696817,47.10491476,6.303407579,18.97496173,17.28413131,39.64898002,50.5502926,93.2638447,55.78707722,138.3161961
"Austin, Tx",Medium Water-Using Cluster,5,0.486842105,0.118421053,0.013157895,0,0.384210526,21.86426593,0.480669993,0.494632008,13.016641,0.13678125,59.10830986,5.808007768,17.25500656,18.54874377,35.59064883,53.35201047,118.1252593,54.76806269,140.0577327
"Austin, Tx",Medium Water-Using Cluster,6,0.494764398,0.115183246,0.013089005,0,0.392670157,22.04109589,0.483589884,0.490597071,19.702385,0.00280402,46.57286688,5.607802268,16.85448822,14.21048642,43.28913091,51.60547105,71.20702108,51.10018808,126.7358531
"Austin, Tx",Medium Water-Using Cluster,7,0.489473684,0.115789474,0.013157895,0,0.386842105,21.94736842,0.486944222,0.496600376,22.668276,0.000438693,51.08533832,5.533993097,16.72976788,17.1594252,29.1353986,53.22399572,55.07521585,50.89121623,126.3945836
"Austin, Tx",Medium Water-Using Cluster,8,0.492105263,0.118421053,0.013157895,0,0.392105263,21.27624309,0.477466079,0.503603632,23.242064,0.006096985,46.12863592,5.694934637,15.78823393,16.91250067,31.97673465,49.64544693,95.0861366,46.81658491,118.5312852
"Austin, Tx",Medium Water-Using Cluster,9,0.49867374,0.119363395,0.013262599,0,0.389920424,21.20334262,0.474064711,0.499863852,22.8141,0.016241204,44.86466833,5.690081486,16.11542051,16.76977239,35.97476004,53.15486601,72.24205573,51.37926071,126.3385643
"Austin, Tx",Medium Water-Using Cluster,10,0.50132626,0.114058355,0.013262599,0,0.389920424,21.5726257,0.481786049,0.496893088,22.053484,0.028066166,58.88790838,5.482767101,16.72857536,17.16217518,40.86179671,49.06679683,39.01248761,52.91999367,127.9814707
"Austin, Tx",Medium Water-Using Cluster,11,0.493472585,0.117493473,0.01305483,0,0.386422977,21.36164384,0.488698708,0.499163254,20.378763,13.038014,56.205142,6.510188556,19.03267368,20.52402043,30.15669834,51.1234518,63.16612974,57.02082672,141.6700978
"Austin, Tx",Medium Water-Using Cluster,12,0.498701299,0.114285714,0.012987013,0,0.394805195,21.46866485,0.481047403,0.495642559,16.425896,0.011567504,51.04128815,6.28431548,18.20011965,19.50333105,43.47646641,51.65432208,88.70592761,56.85519812,138.2698855
"Austin, Tx",Medium Water-Using Cluster,13,0.485564304,0.115485564,0.01312336,0,0.380577428,21.41873278,0.483796056,0.499773813,18.097597,0.26028427,41.17858144,5.908866706,17.06624604,16.62673414,47.5292954,50.33070386,92.98664611,52.19124497,127.9062003
"Austin, Tx",Medium Water-Using Cluster,14,0.493403694,0.110817942,0.013192612,0,0.393139842,21.82369146,0.489460585,0.495799114,19.136581,1.659421,42.60136449,5.285835644,16.9943304,16.66128827,34.99648196,52.01087523,91.1843729,52.08608257,129.6136207
"Austin, Tx",Medium Water-Using Cluster,15,0.493540052,0.11627907,0.012919897,0,0.390180879,21.47282609,0.485947464,0.500791093,10.324402,0.083503515,48.7908798,5.930862637,15.99796038,16.1004085,40.62278321,50.51435038,71.64867892,50.7195682,124.8897137
"Austin, Tx",Medium Water-Using Cluster,16,0.489417989,0.111111111,0.010582011,0,0.383597884,21.24930748,0.483707049,0.499115927,9.412084,0.000500838,49.73275059,6.179958924,16.90187116,17.09571287,50.28615577,53.59241313,62.54615617,53.18321243,133.2993339
"Austin, Tx",Medium Water-Using Cluster,17,0.498652291,0.105121294,0.010781671,0,0.39083558,21.43943662,0.495682393,0.498505595,8.373365,0,57.79765355,6.397780099,17.17104067,17.94525562,67.22671072,52.58277451,71.85465548,55.87554892,138.3426598
"Austin, Tx",Medium Water-Using Cluster,18,0.492227979,0.103626943,0.010362694,0,0.380829016,21.67027027,0.493278055,0.497654602,6.016669,0.013295476,55.4986038,6.405636446,18.65291202,18.37536768,47.24986258,51.42621198,85.12752555,57.78201441,134.2981602
"Austin, Tx",Medium Water-Using Cluster,19,0.498694517,0.109660574,0.01305483,0,0.396866841,21.63215259,0.49222616,0.498048576,5.199811,5.8046827,42.95669532,7.186347592,18.20601257,19.08321333,41.66284612,50.68427769,92.57116769,59.35136061,133.5711742
"Austin, Tx",Medium Water-Using Cluster,20,0.50397878,0.106100796,0.01061008,0,0.400530504,21.13812155,0.487681675,0.497656867,7.04023,19.36847,61.35508385,6.41630117,16.84302221,18.5503085,47.46798437,54.10153419,77.70716957,55.773188,135.0050755
"Austin, Tx",Medium Water-Using Cluster,21,0.498666667,0.106666667,0.013333333,0,0.394666667,21.24301676,0.48974934,0.496261292,5.83045,0.10200485,47.48106339,6.292966394,17.24961289,16.38171363,50.01874981,55.29632313,61.10884638,57.47165048,133.4818267
"Austin, Tx",Medium Water-Using Cluster,22,0.497326203,0.104278075,0.013368984,0,0.393048128,21.0758427,0.489097242,0.501324212,5.5138583,0.00171541,52.62130194,6.690224873,19.32194641,16.63737648,36.83487896,49.67815386,96.85006986,59.16461197,135.4492158
"Austin, Tx",Medium Water-Using Cluster,23,0.479564033,0.108991826,0.013623978,0,0.38147139,20.7,0.483968039,0.505281927,1.6459392,0,48.35659005,7.098258324,19.54575586,22.53175267,69.95402022,55.76950635,126.5215468,58.63704723,150.7633476
"Austin, Tx",Medium Water-Using Cluster,24,0.498583569,0.116147309,0.014164306,0,0.393767705,20.71810089,0.489115423,0.506346882,-5.660411,0,49.1397174,8.10279476,20.77958033,16.88222561,72.44015569,57.94099764,57.08689737,63.7582166,155.5520842
"Austin, Tx",Medium Water-Using Cluster,25,0.507374631,0.115044248,0.014749263,0,0.395280236,20.89783282,0.488742377,0.497260957,-2.3805466,0,56.72327065,7.454936638,20.93940123,16.76312365,76.99390891,53.73995172,58.19969988,64.61973716,150.3527384
"Austin, Tx",Medium Water-Using Cluster,26,0.502747253,0.118131868,0.013736264,0,0.401098901,20.82997118,0.491819725,0.499719018,2.1054595,0,51.37188512,7.022508898,18.50625785,16.98296454,59.30550859,54.06754441,64.89787517,60.83296255,142.33176
"Austin, Tx",Medium Water-Using Cluster,27,0.501362398,0.111716621,0.013623978,0,0.386920981,21.06609195,0.496929682,0.498327943,7.2949204,0,49.79058812,6.432618779,17.14865944,16.292619,40.07392448,52.81985787,74.31868814,58.463584,132.3694938
"Austin, Tx",Medium Water-Using Cluster,28,0.502702703,0.113513514,0.013513514,0,0.383783784,21.4375,0.495606049,0.50143804,5.9466953,0,47.70005001,6.402357689,17.9205796,14.25737907,35.75272713,52.05508255,86.38398895,58.85376814,134.1565109
"Austin, Tx",Medium Water-Using Cluster,29,0.5,0.117801047,0.013089005,0,0.390052356,21.23415978,0.498426527,0.496264928,14.7528,0,59.27658097,5.738548393,17.82353838,22.12439536,44.70602271,53.59411463,70.05775758,56.58919535,131.6552022
"Austin, Tx",Medium Water-Using Cluster,30,0.496124031,0.111111111,0.012919897,0,0.390180879,21.70299728,0.502447898,0.494542571,16.230179,4.9000707,53.92968531,6.514163789,17.29346446,15.39437368,46.96508625,53.06366164,90.85489171,56.82571636,133.0018603
"Austin, Tx",Medium Water-Using Cluster,31,0.509090909,0.119480519,0.012987013,0,0.397402597,21.41530055,0.502051449,0.492099414,11.626039,0.012012395,53.25429663,6.386034446,19.10621686,15.91773079,34.8369676,51.8767727,60.80883018,58.70738395,136.7152794
"Austin, Tx",Medium Water-Using Cluster,32,0.501278772,0.117647059,0.012787724,0,0.393861893,21.66307278,0.500539721,0.496267191,15.09034,0.0215335,52.48915269,6.884723967,19.66987047,14.2183536,49.51202379,55.7169451,83.2552328,58.93521042,145.232266
"Austin, Tx",Medium Water-Using Cluster,33,0.498740554,0.113350126,0.012594458,0,0.395465995,21.38522427,0.498863896,0.492402894,18.83962,0.022570351,49.42924515,6.699775987,20.48655318,19.01861716,36.0958936,57.80397115,103.7200332,60.37950869,150.1620398
"Austin, Tx",Medium Water-Using Cluster,34,0.494923858,0.116751269,0.012690355,0,0.395939086,21.81648936,0.493021493,0.495388035,20.869621,2.0198526,47.19997619,10.33940989,18.45516801,17.82229472,34.94629659,54.4332235,54.8687631,53.36060981,135.9500299
